Date,Open,High,Low,Close,Volume,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,PE_Ratio,Market_Cap,Revenue,EPS,title,source,sentiment,news_count,symbol
2024-01-01,180.65,181.24,178.95,180.0,82066810,,,,180.0,180.0,0.0,0.0,0.0,,,,,,,,,,,,,AAPL
2024-01-02,180.36,185.1,181.97,182.84,46618878,,,,180.43692307692305,180.21037037037036,0.22655270655269533,0.04531054131053907,0.18124216524215625,,,,,,,,,,,neutral,0.0,AAPL
2024-01-03,182.76,183.86,180.96,182.45,40596377,,,,180.74662721893486,180.37626886145404,0.3703583574808249,0.11032010454459625,0.2600382529362287,,,,,,,,,,,neutral,0.0,AAPL
2024-01-04,182.52,188.6,186.38,187.87,93446226,,,,181.8425307237141,180.9313600569019,0.911170666812211,0.2704902169981192,0.6406804498140919,,,,,,,,,,,neutral,0.0,AAPL
2024-01-05,188.54,193.25,187.35,190.61,58800723,,,,183.191372150835,181.64829634898322,1.543075801851785,0.5250073339688524,1.0180684678829326,,,,,,,,,,,neutral,0.0,AAPL
2024-01-08,191.25,197.34,195.99,196.13,73075743,,,,185.1819302814758,182.72101513794743,2.4609151435283536,0.9121888958807527,1.548726247647601,,,,,,,,,,,neutral,0.0,AAPL
2024-01-09,196.38,199.55,196.8,199.54,40878871,,,,187.39086408432567,183.96686586846982,3.423998215855846,1.4145507598757714,2.009447455980075,,,,,,,,,,,neutral,0.0,AAPL
2024-01-10,200.07,203.89,200.09,202.3,35341555,,,,189.6845773021217,185.3248758041387,4.359701497982996,2.0035809074972164,2.35612059048578,,,,,,,,,,,neutral,0.0,AAPL
2024-01-11,201.39,203.1,201.02,201.17,35589792,,,,191.4515654094876,186.49858870753584,4.952976701951769,2.5934600663881273,2.359516635563642,,,,,,,,,,,neutral,0.0,AAPL
2024-01-12,201.55,205.41,198.67,202.45,45014841,192.536,,,193.14363226956644,187.68017472919985,5.463457540366591,3.1674595611838203,2.2959979791827703,,,,,,,,,,,neutral,0.0,AAPL
2024-01-15,201.61,206.65,200.47,202.62,84446424,194.798,,,194.60153499732544,188.78682845296282,5.814706544362622,3.696908957819581,2.1177975865430407,,,,,,,,,,,neutral,0.0,AAPL
2024-01-16,202.87,207.88,202.4,205.99,35686074,197.113,,,196.35360653619844,190.06113745644706,6.292469079751385,4.216020982205942,2.076448097545443,,,,,,,,,,,neutral,0.0,AAPL
2024-01-17,205.54,209.08,206.74,208.23,87664058,199.691,,,198.1807439921679,191.40697912633988,6.773764865828014,4.727569758930356,2.046195106897658,,,,,,,,,,,neutral,0.0,AAPL
2024-01-18,207.04,213.48,206.29,209.41,60589656,201.84499999999997,,,199.90832183952668,192.74053622809248,7.167785611434198,5.215612929431124,1.9521726820030736,95.31587057010775,,,,,,,,,,neutral,0.0,AAPL
2024-01-19,209.4,211.6,207.65,210.62,75029650,203.846,,,201.55627232575335,194.06494095193747,7.491331373815882,5.670756618308077,1.8205747555078053,95.48425430778362,,,,,,,,,,neutral,0.0,AAPL
2024-01-22,210.6,207.31,202.68,206.57,54337008,204.89000000000001,,,202.32761504486822,194.99124162216432,7.3363734227039,6.003879979187242,1.3324934435166584,84.0263837109262,,,,,,,,,,neutral,0.0,AAPL
2024-01-23,206.63,203.2,196.47,200.29,73770261,204.965,,,202.0141358071962,195.38374224274474,6.6303935644514524,6.129182696240084,0.5012108682113681,71.88420019627083,,,,,,,,AAPL reports strong quarterly earnings,MarketWatch,positive,1.0,AAPL
2024-01-24,199.14,205.92,200.68,202.23,59698014,204.958,,,202.04734568301217,195.89087244698587,6.156473236026301,6.134640804197328,0.02183243182897243,69.25965665236046,,,,,,,,,,neutral,0.0,AAPL
2024-01-25,201.26,201.65,196.54,200.36,85192336,204.877,,,201.78775403947182,196.22191893239432,5.565835107077504,6.020879664773364,-0.45504455769586016,63.38917879703377,,,,,,,,,,neutral,0.0,AAPL
